Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	alpha_ofbeta	beta_ofbeta	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	cats[1]	cats[2]	cats[3]	cats[4]	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	fossil[1]	fossil[2]	fossil[3]	fossil[4]	fossil[5]	fossil[6]	fossil[7]	fossil[8]	fossil[9]	fossil[10]	fossil[11]	fossil[12]	fossil[13]	fossil[14]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
100	-4142.69	-4155.91	13.2197	44.69914	11.79898	0.1612128	0.5587861	0.1074246	0.4849887	0.000514823	0.00709151	0.00568554	0.0126605	0.00632514	0.00197079	0.0111261	0.00346556	0.00812757	0.00734286	0.0114371	0.00900812	0.0026434	0.00241036	0.00261526	0.00998732	0.0075422	0.0281124	0.0343178	0.0128553	0.00293077	0.00717192	0.0187756	0.00366778	0.00554143	0.052503	0.00936041	0.000152247	0.00562692	0.000125332	0.00150603	0.00489576	0.00460151	0.0147699	0.00528348	0.0126954	0.00824265	0.00194139	0.00149411	0.00126393	0.0118227	0.0069632	0.009117422	0.105952	0.304467	0.516201	0.782096	0.01072489	0.0279531	0.0210119	0.504911	0.0123018	0.00232294	0.456771	0.00268127	0.136197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357797	0.16989	0.739328	0.0550026	5	45.74483	0.0420062	0.000100777	0.0148063	0.275328	3.70977	0.044735	0.288572	0.858742	2.80795	0.290218	0.313311	0.132427	0.264043	0.1641501	6.32114	8.18355	0.362822	22.0234	7.96368	9.69584	7.78291	11.799	37.1982	16.8745	15.5278	4.74079	0.143299	22.1342	0.8297102
110	-4136.71	-4143.44	6.73449	46.64751	11.79898	0.1924803	0.6817255	0.115891	0.2678326	0.000494613	0.0047844	0.00542017	0.011323	0.00831349	0.0014625	0.00277989	0.00490171	0.0039624	0.00679572	0.0074529	0.0133689	0.0076101	0.00221432	0.00231254	0.00979048	0.00349541	0.0222252	0.0479525	0.0127646	0.00123142	0.00660426	0.00338067	0.00624826	0.0104514	0.0202415	0.0138011	0.00017919	0.0144396	0.000141047	0.000397543	0.00380156	0.00261213	0.0311953	0.00921759	0.00509886	0.00899508	0.00114874	0.00510708	0.00225129	0.00632437	0.00130369	0.005630405	0.123771	0.347351	0.572811	0.828585	0.01544794	0.008290135	0.0117092	0.494304	0.0114785	0.000788398	0.478239	0.00348106	0.1078488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0513335	0.121607	0.802903	0.0241561	3	47.85662	0.02311262	0.000405598	0.0295531	0.363749	3.60629	0.0702899	0.354779	0.917904	2.65703	0.29754	0.312135	0.135061	0.255264	0.1161389	6.32114	6.50416	2.58516	21.1715	9.24211	8.82474	7.78291	11.799	36.6118	16.8745	15.5278	5.12302	0.143299	21.0482	0.9286188
120	-4122.87	-4140.31	17.4439	45.72228	11.53206	0.1945167	0.9328995	0.2080864	0.3328525	0.00147763	0.00541513	0.00348714	0.0115583	0.00650911	0.00367441	0.0026642	0.0072833	0.0046757	0.0077796	0.017991	0.0257916	0.0058859	0.0023167	0.00326142	0.00868523	0.00522102	0.0226459	0.023975	0.0167987	0.00219106	0.00661617	0.00207372	0.0131929	0.00742671	0.00604103	0.0148217	0.000233984	0.0153357	0.000102181	0.000626673	0.00478946	0.00229618	0.0101234	0.00422838	0.00778995	0.00788652	0.00121257	0.00203955	0.0029675	0.00876409	0.000405238	0.007445085	0.136368	0.360691	0.578569	0.826166	0.008840815	0.01721656	0.00970673	0.521037	0.0111124	0.00435382	0.452158	0.00163234	0.06328204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18621	0.582409	0.166542	0.0648383	5	50.14622	0.02223256	0.000437241	0.0306733	0.369196	3.59969	0.123379	0.45561	0.987926	2.43308	0.298415	0.306153	0.129291	0.266141	0.0804986	6.33212	7.32762	2.58516	21.1715	9.24211	8.95287	8.68506	11.5321	36.9628	16.8745	15.5893	5.12302	0.143299	21.0482	0.786126
130	-4140.99	-4142.43	1.43723	48.15053	11.66005	0.1762825	2.086298	0.1766502	0.2869772	0.00294593	0.0113884	0.00547449	0.0109594	0.00729167	0.0125093	0.00103188	0.00501899	0.00505503	0.00944017	0.0325472	0.0390697	0.0161339	0.0074721	0.0020812	0.0101367	0.00306867	0.00254612	0.0180666	0.047023	0.00195832	0.0107027	0.00379464	0.00295218	0.00661436	0.0101269	0.0129013	0.000789154	0.00909138	0.000333752	0.000191798	0.00660482	0.00234797	0.00795842	0.00579758	0.00546175	0.0141469	0.00272213	0.0101915	0.0100821	0.0285999	0.000819016	0.009472899	0.134262	0.361253	0.583017	0.831904	0.009623125	0.001126955	0.00998665	0.511153	0.00937513	0.00338559	0.463789	0.00231086	0.0756488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0362211	0.62262	0.269424	0.0717349	4	50.25699	0.0261437	0.000209735	0.0213099	0.319004	3.65948	0.303363	0.663888	1.07201	1.96074	0.299827	0.290529	0.129586	0.280057	0.07677575	6.85328	7.18881	2.58516	21.1715	8.97752	8.95287	8.60575	11.6601	37.1099	16.8745	15.4855	5.12302	0.143299	20.99	0.9853215
140	-4151.06	-4155.57	4.51446	39.05021	11.66005	0.1941008	1.440183	0.2493533	0.8770367	0.00530226	0.0269719	0.00517802	0.0102633	0.00791486	0.00911867	0.00259308	0.00599101	0.00702519	0.00530438	0.0157653	0.0192435	0.0143697	0.0115452	0.0139225	0.0196665	0.00334372	0.00664	0.00648558	0.0462426	0.00109539	0.0109531	0.004392	0.00156194	0.00306228	0.00563401	0.0140719	0.00116274	0.00673934	0.00100821	0.000156779	0.0075329	0.00492982	0.00955163	0.0041972	0.00200535	0.00995922	0.0069241	0.0138269	0.00639728	0.0239975	0.000704288	0.008115898	0.107408	0.28643	0.474464	0.730159	0.01845662	0.005400005	0.00772798	0.547979	0.0128348	0.00736338	0.421002	0.00309249	0.1413939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027584	0.198188	0.674945	0.0992829	3	50.24955	0.03383956	0.000430639	0.030443	0.368087	3.60104	0.215932	0.578287	1.04671	2.15907	0.272621	0.310548	0.121199	0.295633	0.1467939	6.85328	7.18881	1.18851	21.1715	8.93938	8.95287	8.60575	11.6601	36.7875	16.8621	15.4855	4.42329	0.143299	20.99	0.9632137
150	-4143.57	-4150.08	6.51118	35.64282	11.78318	0.1786905	0.8185658	0.1080233	0.8021279	0.00318657	0.0261816	0.00121611	0.0190656	0.0110472	0.0083652	0.00415232	0.00634693	0.00475367	0.0124139	0.0098427	0.0444949	0.0351854	0.00738078	0.00656788	0.0115304	0.00140157	0.0216294	0.00854043	0.0138071	0.00138851	0.0150878	0.00503313	0.00221308	0.00386655	0.00188846	0.0246598	0.00203883	0.0125329	0.00273048	0.000340064	0.00864963	0.00628863	0.00921297	0.0193216	0.00148803	0.0196423	0.0232451	0.0166255	0.00824996	0.00472291	0.00122827	0.01047699	0.0889337	0.260134	0.452571	0.721337	0.01467094	-0.01718936	0.00574219	0.583684	0.00833217	0.00908857	0.390533	0.00262	0.1502651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103366	0.332591	0.477834	0.179238	6	48.26599	0.02265226	0.000233102	0.0224568	0.325809	3.6515	0.0995028	0.414503	0.961969	2.52403	0.30892	0.296168	0.14655	0.248362	0.1330758	7.62424	6.53617	1.65328	18.5411	9.59436	5.0968	8.60575	11.7832	36.6507	16.7394	15.5256	2.49427	0.143299	21.5637	1.12917
160	-4132.75	-4140.03	7.27655	29.98296	11.41037	0.1899752	0.9115007	0.1377763	0.581885	0.0049042	0.0290193	0.00222918	0.0307964	0.0192621	0.00669543	0.00420639	0.00885995	0.00650082	0.018288	0.00342861	0.0333412	0.0377577	0.00590077	0.00524041	0.0152093	0.00674828	0.00708356	0.00510485	0.0165851	0.000742346	0.0120598	0.00987331	0.00224868	0.00629381	0.00775103	0.0211911	0.00792601	0.00903395	0.0132954	0.000806916	0.0157514	0.00831964	0.00655574	0.0210384	0.00212182	0.0142419	0.0131939	0.0140901	0.0124653	0.00366644	0.000757069	0.01257809	0.105316	0.297762	0.502979	0.767352	0.01722173	-0.0002311533	0.014027	0.516823	0.0119411	0.00741111	0.448909	0.000888795	0.1665711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116152	0.672867	0.168273	0.147245	6	48.1892	0.03768943	0.000368976	0.0281997	0.356992	3.61444	0.118975	0.448434	0.983635	2.44896	0.294738	0.295196	0.140171	0.269896	0.1663399	7.62424	5.91687	1.65328	17.6898	9.6186	8.53004	7.75257	11.4104	36.989	16.7394	15.5256	4.97768	0.143299	21.5637	1.00139
170	-4142.77	-4148.81	6.0329	39.939	11.41037	0.1736567	1.113226	0.2086917	0.7954788	0.00262068	0.00976867	0.0055911	0.0288953	0.017363	0.00333468	0.00789798	0.00608231	0.00539767	0.0165972	0.0152636	0.00899545	0.0416234	0.00801787	0.00866032	0.0243278	0.00436253	0.0108672	0.0117714	0.0201208	0.000923093	0.0121442	0.0156017	0.00434989	0.00399532	0.0140724	0.0230082	0.00739898	0.00331915	0.00755128	0.000944374	0.00880433	0.006914	0.012822	0.0269034	0.00327646	0.0193701	0.00833711	0.020017	0.0181581	0.0133494	0.000502897	0.01465282	0.105198	0.286687	0.479149	0.738317	0.02763993	-0.001143193	0.0052661	0.502785	0.00697325	0.00847229	0.476061	0.000442244	0.1534682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188675	0.200615	0.678552	0.101965	5	43.57795	0.03816119	0.000186291	0.0200921	0.311525	3.6682	0.158976	0.508326	1.01649	2.31621	0.302637	0.315896	0.119871	0.261597	0.152325	7.5525	7.15287	1.65328	22.7865	9.69099	4.93033	7.75257	11.4104	36.989	16.7394	15.5256	5.14353	0.143299	21.5637	1.007505
180	-4142.68	-4149.09	6.41503	30.24641	11.41037	0.1718894	0.8548293	0.5150223	0.7061915	0.00465372	0.00625599	0.00750928	0.0261511	0.0137791	0.0019926	0.00134521	0.0137782	0.00854704	0.01737	0.00758646	0.0180193	0.043875	0.00683916	0.00900766	0.00855131	0.00233209	0.00609336	0.0185938	0.00467379	0.00173664	0.0113802	0.00666212	0.0122436	0.00521186	0.0341359	0.0184197	0.0143979	0.00452441	0.00428455	0.0131946	0.00536301	0.00408536	0.0187471	0.0176326	0.00591635	0.0350256	0.00553155	0.0199228	0.0395308	0.0398552	0.000569169	0.01329194	0.160441	0.369374	0.560216	0.791274	0.02424404	-0.002720166	0.00550437	0.46008	0.0101026	0.00808815	0.51493	0.00129549	0.2038153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0638921	0.211547	0.648981	0.0755799	5	42.11371	0.04536517	0.000171655	0.0192921	0.306458	3.67408	0.107161	0.428306	0.971062	2.49347	0.321131	0.297817	0.130098	0.250954	0.2010952	7.5525	7.16959	1.65328	17.8516	7.80751	4.93033	7.75257	11.4104	37.0816	16.4271	15.5256	5.19716	0.143299	21.5637	1.013527
190	-4149.42	-4151.97	2.5534	28.60411	11.41037	0.1523343	1.542121	0.2506662	0.9327591	0.0122413	0.00178592	0.00579422	0.0201416	0.0152521	0.00128203	0.00324807	0.00724559	0.0118845	0.0234709	0.00843892	0.0448726	0.0147012	0.0172868	0.0101263	0.0144398	0.00608456	0.00823476	0.0366356	0.0209419	0.00243242	0.0114305	0.0144207	0.00835996	0.00237295	0.00456576	0.0132865	0.0139636	0.00714334	0.00970502	0.0256897	0.00873807	0.00442048	0.00731686	0.00690249	0.00637465	0.0157048	0.0290074	0.023004	0.0149362	0.00630892	0.000669293	0.01236751	0.104868	0.280141	0.46546	0.721003	0.02464367	0.01010555	0.0149023	0.50415	0.0197649	0.00528981	0.455609	0.000284238	0.1879317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0424768	0.424667	0.507154	0.0257023	4	40.47261	0.05612701	6.11325e-05	0.0115467	0.248856	3.73954	0.231757	0.595421	1.0528	2.12002	0.29161	0.317526	0.123302	0.267562	0.1980372	7.5525	8.14042	1.65328	17.8516	9.30158	4.93033	7.84015	11.4104	37.0816	16.5016	15.5664	4.74348	0.0543646	21.5637	0.9489715
