Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	alpha_ofbeta	beta_ofbeta	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	cats[1]	cats[2]	cats[3]	cats[4]	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	fossil[1]	fossil[2]	fossil[3]	fossil[4]	fossil[5]	fossil[6]	fossil[7]	fossil[8]	fossil[9]	fossil[10]	fossil[11]	fossil[12]	fossil[13]	fossil[14]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
0	-500.793	0	-500.793	49.52174	11.7	0.2192393	2.294225	2.234214	1.898842	0.0294621	0.0579792	0.270037	0.238924	0.0183435	0.0151095	0.0707647	0.010245	0.102443	0.0844103	0.111981	0.0834647	0.0679876	0.184153	0.0238842	0.0992877	0.0279737	0.00815559	0.178213	0.247111	0.144332	0.0405603	0.111549	0.049466	0.191139	0.222094	0.0948798	0.279751	0.0694993	0.0894997	0.127318	0.312185	0.309791	0.485961	0.0408383	0.00457043	0.0224408	0.0221287	0.235229	0.0445205	0.15972	0.101417	0.1378666	0.283358	0.462507	0.597448	0.766052	0.7346551	0.5115208	0.0305643	0.0857242	0.312349	0.021101	0.235098	0.315163	0.03734128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.430524	0.349389	0.103375	0.116712	0	51.45237	0.05700319	0.000973506	0.0455594	0.431986	3.52148	0.326037	0.68305	1.07587	1.91505	0.388687	0.182099	0.149061	0.280152	0.548862	5	7.7	0.5	14	9.6	5.1	8.7	11.7	36.6	16.2	14.4	4.3	0.06	21.9	0.06803399
10	-103.366	0	-103.366	49.23992	48.38274	0.4806663	1.885185	1.229617	2.179901	0.0595725	0.29428	0.521016	0.139573	0.0268451	0.0311201	0.0374943	0.00762101	0.050284	0.37581	0.17367	0.328145	0.101895	0.0691371	0.151196	0.0136425	0.0884033	0.00804903	0.435099	0.092062	0.226349	0.0507942	0.617641	0.139644	0.785689	0.278882	0.267551	0.17386	0.0381145	0.118848	0.389926	0.143056	0.598746	0.0686109	0.156702	0.00834003	0.0127377	0.0127183	0.17945	0.192104	0.288564	0.251937	0.1585879	0.171092	0.33179	0.473319	0.672462	0.4207909	-0.002655827	0.0371107	0.143173	0.417711	0.0151098	0.235839	0.151057	0.09550234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194057	0.414639	0.181268	0.210035	11	52.95798	0.0596035	0.0298627	0.239107	0.805674	2.92536	0.279173	0.642221	1.06683	2.01177	0.463642	0.16318	0.104348	0.26883	0.09284652	52.5879	45.7463	48.0626	37.4174	47.2577	41.7227	46.3465	48.3827	49.1349	49.2808	47.8998	6.38705	33.8569	48.3675	1.028604
20	-91.683	0	-91.683	54.80481	51.26154	0.1825237	4.637979	0.9926155	0.471061	0.0717399	0.168606	0.390524	0.549428	0.00499136	0.0290965	0.0552283	0.0494937	0.0484213	0.0972891	0.128914	0.0714102	0.108093	0.0704883	0.122435	0.015669	0.0402202	0.00810568	0.446251	0.129571	0.19102	0.187008	0.242648	0.202075	0.272844	0.47605	0.0775246	0.269959	0.045287	0.0378893	0.121207	0.351503	0.399414	0.0702548	0.0343116	0.0141413	0.006817	0.0136734	0.476685	0.264886	0.338772	0.162137	0.1646822	0.259461	0.497981	0.678593	0.865122	6.553933	0.06395391	0.0376231	0.242411	0.290401	0.0126472	0.310058	0.10686	0.02954319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40354	0.294751	0.0906926	0.211017	13	54.916	0.03869442	0.000274201	0.0243407	0.336535	3.63885	0.48631	0.794735	1.08387	1.63509	0.120791	0.213067	0.200721	0.465422	0.0934971	54.5929	53.003	54.4325	52.8832	52.7822	54.8005	42.1479	51.2615	53.0455	53.7848	51.7626	2.82077	34.6934	49.2163	0.3159798
30	-75.594	0	-75.594	54.99319	54.98244	0.7213807	1.222871	0.8395643	0.6320473	0.0180497	0.246552	0.271297	0.281923	0.00360007	0.0522584	0.0273283	0.222167	0.0386925	0.133815	0.344969	0.484238	0.184036	0.146012	0.0670912	0.0107909	0.10576	0.0366386	0.183263	0.0761491	0.37771	0.428624	0.215599	0.25243	0.0979656	0.268306	0.0473159	0.121599	0.196904	0.0303477	0.151802	0.500403	0.368706	0.106567	0.199145	0.0699383	0.0536699	0.0183401	0.0937958	0.145809	0.207825	0.0869562	0.1747919	0.218421	0.44347	0.62663	0.83103	1.015096	0.01389717	0.08102	0.416586	0.161997	0.0761111	0.146161	0.118125	0.01329253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38949	0.440989	0.0476853	0.121836	14	54.99611	0.04965735	0.0787598	0.373446	0.932541	2.61525	0.179173	0.534831	1.02895	2.25705	0.0191008	0.673497	0.128058	0.179344	0.0271897	54.9928	54.9919	54.9922	54.5945	54.9925	54.9927	54.5456	54.9824	28.2611	54.9929	54.5632	51.0482	50.4352	54.992	0.4888811
40	-81.3385	0	-81.3385	54.99988	54.99984	1.856876	0.5338182	0.4257749	0.6021735	0.0370457	0.128035	0.181576	0.335523	0.00514686	0.0917857	0.0153781	0.136422	0.0707188	0.156803	0.312172	0.51129	0.221603	0.113507	0.478358	0.0345495	0.155339	0.0308345	0.278331	0.146554	0.801022	0.461977	0.367808	0.12391	0.0863101	0.0834273	0.0134316	0.0714134	0.0694889	0.0442073	0.358945	0.496521	0.13188	0.256055	0.165005	0.0928206	0.0307284	0.023691	0.0318074	0.503053	0.15462	0.0465666	0.1699813	0.15363	0.366349	0.56383	0.799677	0.09442204	0.01983504	0.126306	0.160792	0.200867	0.289812	0.155505	0.0667179	0.01269751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568762	0.172345	0.0044126	0.254481	14	54.99993	0.04818898	0.27557	0.638877	1.06596	2.0196	0.0398142	0.273421	0.843397	2.84337	0.0676458	0.580057	0.032094	0.320203	0.03253255	54.9998	54.8817	54.8788	54.8439	54.9998	54.9999	54.8433	54.9998	48.6764	54.9997	54.686	54.5889	11.1186	54.9991	0.3903018
50	-78.1768	0	-78.1768	54.99994	54.99993	1.880213	0.7060862	0.1327971	0.3261866	0.0923184	0.14519	0.119697	0.0518159	0.0061723	0.167115	0.00920712	0.240382	0.254763	0.246954	0.27897	0.390721	0.181967	0.0370159	0.261439	0.0834075	0.0707942	0.0583414	0.624637	0.141708	0.209042	0.283684	0.192382	0.277124	0.104657	0.0559102	0.01029	0.172698	0.0201186	0.0768541	0.211395	0.193866	0.12166	0.0814055	0.198314	0.0643623	0.0361413	0.0231501	0.0355819	0.331879	0.207629	0.0438499	0.2094132	0.122234	0.340492	0.561617	0.818364	2.085785	0.00868241	0.0533955	0.174254	0.213855	0.361808	0.161241	0.0354465	0.01129254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335991	0.270797	0.00417335	0.389038	14	54.99994	0.06432948	0.278544	0.64164	1.06668	2.01314	0.0754887	0.366388	0.927103	2.63102	0.124918	0.168532	0.047968	0.658582	0.01997495	54.9999	54.9953	52.2855	54.9999	54.9999	54.9988	54.9421	54.9999	32.5648	54.9999	54.999	54.9258	54.5239	54.9999	0.565335
60	-110.702	0	-110.702	54.99994	54.99993	2.054494	0.6392108	0.5722799	0.1610371	0.178402	1.28552	0.0885153	0.547291	0.00973429	0.432749	0.00532276	0.17238	0.465231	0.369442	0.664351	0.471442	0.361362	0.0431412	0.866704	0.071961	0.073935	0.0429787	0.994101	0.535368	0.769239	0.601579	0.186866	0.495322	0.26281	0.0612076	0.00465397	0.296519	0.0169007	0.144638	0.62826	0.223198	0.159616	0.469828	0.372485	0.167692	0.141707	0.0442979	0.0220139	0.365656	1.78178	0.115516	0.3129573	0.227406	0.489018	0.694435	0.890053	0.5633816	0.05319914	0.00870638	0.0933133	0.199838	0.497311	0.165697	0.0351342	0.009777848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0984984	0.104002	0.00327598	0.794223	14	54.99994	0.07428307	0.299694	0.660686	1.0713	1.96832	0.061283	0.333379	0.900077	2.70526	0.120624	0.32	0.194391	0.364985	0.06297699	54.9999	54.9789	54.5153	54.9999	54.9999	54.9999	54.9999	54.9999	6.63315	54.9999	54.9803	54.998	54.9979	54.9999	0.1552606
70	-105.058	0	-105.058	54.99994	54.99994	2.227583	0.4598906	0.3980117	0.1197708	0.165539	0.320738	0.210044	0.452748	0.0183051	0.141652	0.0254242	0.0931345	0.384393	0.274221	0.87097	0.592909	0.43302	0.143454	0.227005	0.0620189	0.021458	0.0177432	0.897657	0.314728	0.165467	0.212556	0.133362	0.257812	0.519038	0.0470308	0.0237466	0.463592	0.00882402	0.120172	0.122267	0.252282	0.234143	0.555407	0.673836	0.3834	1.04242	0.131281	0.0314021	0.43365	2.04977	0.0430607	0.2890063	0.198331	0.459942	0.676942	0.885806	0.1468201	0.05002628	0.0171653	0.0711759	0.263839	0.370716	0.267261	0.00984197	0.01390468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20267	0.557626	0.00523478	0.234469	14	54.99994	0.04177144	0.319008	0.67722	1.07477	1.92901	0.0262169	0.224927	0.788737	2.96012	0.0551519	0.221173	0.536594	0.187081	0.06393096	54.9999	54.9999	46.0515	54.9999	54.9999	54.9999	54.9999	54.9999	35.7887	54.9999	54.9999	54.8002	54.7203	54.9999	0.2174952
80	-94.5237	0	-94.5237	54.99994	54.99994	0.525762	0.2137882	0.5533781	0.3521268	0.360681	0.546061	0.486064	0.285713	0.00596803	0.298184	0.00816851	0.0346328	0.256782	0.599911	0.235305	0.620514	0.205685	0.161896	0.113227	0.0719064	0.0610242	0.0137942	0.654339	0.0934947	0.0611294	0.191787	0.128303	0.090629	0.433245	0.0315102	0.0364059	0.315969	0.0319591	0.0503759	0.100539	0.727876	0.135276	0.585267	0.354568	0.198735	0.601733	0.519647	0.0455042	0.0893951	0.618082	0.0437325	0.271678	0.199666	0.440902	0.642697	0.855266	0.2014963	0.008207024	0.00525854	0.142254	0.16409	0.283131	0.382533	0.0227337	0.01956122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0934527	0.385406	0.00224384	0.518898	14	54.99994	0.03354341	0.0382563	0.268402	0.838145	2.8552	0.000829125	0.0420893	0.418677	3.5384	0.0691319	0.195598	0.101715	0.633555	0.02776824	54.9999	54.9999	52.0161	54.9999	54.9999	54.9996	54.9441	54.9999	38.4203	54.9996	54.9993	8.54041	48.6384	54.9999	0.7044457
90	-86.9007	0	-86.9007	54.99997	54.99994	0.3461054	0.1296358	2.333137	0.274186	0.921359	0.203347	0.418517	0.33147	0.0101244	0.301933	0.00704201	0.0302548	0.0923694	0.507682	0.0938547	0.733703	0.131216	0.13253	0.135858	0.0717217	0.1235	0.0113612	0.301636	0.21866	0.0702037	0.246859	0.129132	0.0622703	0.185711	0.0169906	0.0151096	0.698664	0.100319	0.0557846	0.187367	0.510692	0.103875	0.531554	0.111372	0.102447	0.477738	0.627791	0.0234724	0.0725814	0.260619	0.0740047	0.2472692	0.456814	0.68471	0.818568	0.933681	0.6428238	0.03685054	0.00263994	0.10161	0.455046	0.317024	0.107511	0.0161695	0.009827957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494792	0.374903	0.000107285	0.130197	14	54.99997	0.07485502	0.00976766	0.140524	0.665699	3.18401	1.24668e-05	0.00522966	0.179952	3.81481	0.096095	0.276165	0.407485	0.220255	0.0466785	54.9999	54.9999	54.9959	54.9999	55	54.999	54.9833	54.9999	12.1275	55	54.987	54.6792	54.8985	54.9995	0.2105457
